date,open,high,low,close,adj_close,range_over_open,range_change,range_move,price_change,tomo_price_move,volume,qty_change,qty_move,5d_avg_range,change_in_5d_avg_range,5d_avg_range_move,5d_avg_px,change_in_5d_avg_px,5d_avg_px_move,5d_avg_qty,change_in_5d_avg_qty,5d_avg_qty_move,10d_avg_px,change_in_10d_avg_px,10d_avg_px_move
3/31/2015,0.555,0.595,0.53,0.565,0.565,0.117117117,,Flat,0.01,Flat,4816294,,Flat,,,,,,,,,,,,
4/1/2015,0.575,0.58,0.555,0.565,0.565,0.043478261,-0.073638856,Down,0,Down,4376660,-439634,Down,,,,,,,,,,,,
4/2/2015,0.56,0.565,0.535,0.555,0.555,0.053571429,0.010093168,Up,-0.01,Down,2779640,-1597020,Down,,,,,,,,,,,,
4/7/2015,0.545,0.55,0.54,0.545,0.545,0.018348624,-0.035222805,Down,-0.01,Down,392179,-2387461,Down,,,,,,,,,,,,
4/8/2015,0.545,0.545,0.53,0.54,0.54,0.027522936,0.009174312,Up,-0.005,Down,668446,276267,Up,0.052007673,,,0.554,,,2606643.8,,,,,
4/9/2015,0.54,0.54,0.532,0.535,0.535,0.014814815,-0.012708121,Down,-0.005,Flat,706846,38400,Up,0.031547213,-0.02046046,Down,0.548,-0.006,Down,1784754.2,-821889.6,Down,,,
4/10/2015,0.53,0.535,0.53,0.535,0.535,0.009433962,-0.005380853,Down,0,Up,175104,-531742,Down,0.024738353,-0.00680886,Down,0.542,-0.006,Down,944443,-840311.2,Down,,,
4/13/2015,0.535,0.54,0.53,0.54,0.54,0.018691589,0.009257627,Up,0.005,Flat,565808,390704,Up,0.017762385,-0.006975968,Down,0.539,-0.003,Down,501676.6,-442766.4,Down,,,
4/14/2015,0.54,0.54,0.535,0.54,0.54,0.009259259,-0.00943233,Down,0,Flat,371393,-194415,Down,0.015944512,-0.001817873,Down,0.538,-0.001,Down,497519.4,-4157.2,Down,,,
4/15/2015,0.54,0.55,0.54,0.54,0.54,0.018518519,0.009259259,Up,0,Down,925749,554356,Up,0.014143629,-0.001800883,Down,0.538,0,Flat,548980,51460.6,Up,0.546,,
4/16/2015,0.545,0.545,0.525,0.53,0.53,0.036697248,0.018178729,Up,-0.01,Up,592613,-333136,Down,0.018520115,0.004376487,Up,0.537,-0.001,Down,526133.4,-22846.6,Down,0.5425,-0.0035,Down
4/17/2015,0.525,0.54,0.52,0.54,0.54,0.038095238,0.00139799,Up,0.01,Down,547790,-44823,Down,0.02425237,0.005732255,Up,0.538,0.001,Up,600670.6,74537.2,Up,0.54,-0.0025,Down
